Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Black Sun,Rebecca Roanhorse,"",9781534437685,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
White Rage: The Unspoken Truth of Our Racial Divide,Carol Anderson,"",9781632864123,hardcover,to-read,2023/06/03,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Mary GrandPré (Illustrator),9780439136365,paperback,read,2025/12/18,1999,1999-1999,1,"",,,,,,,,,"",,"",No
The Ballad of Songbirds and Snakes,Suzanne Collins,"",9781338635171,hardcover,read,2025/03/18,2025/03/18,2025/03/18-2025/03/18,1,"",medium,Character,It's complicated,No,"","",2.75,<div>Genuinely who cares about Snow? Why wasn't this Lucy pov and we could still learn about Snow? Some moments feel pretty far fetched.&nbsp;</div>,"","","",No
Swimming in the Dark,Tomasz Jedrowski,"",9780062890023,digital,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Dark Matter,Blake Crouch,"",9781101904220,hardcover,to-read,2025/09/17,"","",0,"",,,,,,,,,"",,"",No
Sunrise on the Reaping,Suzanne Collins,"",9781546171461,hardcover,read,2025/03/18,2025/03/23,2025/03/18-2025/03/23,1,"adventurous, dark, emotional, funny",fast,A mix,It's complicated,"","","",4.0,<div>Maysilee!!!&nbsp;</div>,"","","",No
The Well of Loneliness,Radclyffe Hall,"",184022455X,paperback,to-read,2025/12/13,"","",0,"",,,,,,,,,"",,"",No
Walden,Henry David Thoreau,Marcos Nava García (Translator),9788415217459,paperback,read,2023/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
Leaves of Grass,Walt Whitman,"",9781340007201,hardcover,read,2023/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
A Psalm for the Wild-Built,Becky Chambers,"",9781250236210,hardcover,read,2025/03/25,2025/11/06,2025/11/01-2025/11/06,1,"adventurous, lighthearted, reflective",fast,"","","","","",3.75,Cute,"","","",No
The Lord of Demons,Evan Winter,"",9780356513010,hardcover,to-read,2025/02/27,"","",0,"",,,,,,,,,"",,"",No
