Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Darkness Outside Us,Eliot Schrefer,"",9780062888280,hardcover,to-read,2023/08/16,"","",1,"",,,,,,,,,"",,"",No
Beyond Civility: The Competing Obligations of Citizenship,"Robert Danisch, William M. Keith","",9780271087306,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Assassin's Apprentice,Robin Hobb,"",9780553573398,paperback,read,2025/03/28,2025/11/23,2025/11/15-2025/11/23,1,adventurous,medium,Character,"","","","",4.0,"","","","",No
Between Two Fires,Christopher Buehlman,"",9781937007867,hardcover,to-read,2025/02/27,"","",0,"",,,,,,,,,"",,"",No
A Clash of Kings,George R.R. Martin,"",9780553381696,paperback,read,2023/06/02,"","",1,"",,"","","","","",4.25,,"","","",No
The Secret History,Donna Tartt,"",9781683311829,hardcover,to-read,2023/06/03,"","",0,"",,,,,,,,,"",,"",No
The Mastery of Love: A Practical Guide to the Art of Relationship,"Janet Mills, Don Miguel Ruiz","",9781878424426,paperback,read,2023/06/03,"","",1,"",,,,,,,4.0,,"",,"",No
The Home Place: Memoirs of a Colored Man's Love Affair with Nature,J. Drew Lanham,"",9781571313157,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
I Am a Cat,Natsume Sōseki,"Graeme Wilson (Translator), Aiko Ito (Translator)",9780804832656,paperback,to-read,2023/06/06,"","",0,"",,,,,,,,,"",,"",No
Faggots,Larry Kramer,"",9780802136916,paperback,to-read,2025/03/22,"","",0,"",,,,,,,,,"",,"",No
Fire & Blood,George R.R. Martin,Doug Wheatley (Illustrator),9781524796280,hardcover,read,2024/05/30,"","",1,"",,,,,,,,,"",,"",No
The Call of the Wild,Jack London,"",9781433213571,audio,read,2023/06/02,"","",1,"",,,,,,,,,"",,"",No
Horneater,Brandon Sanderson,"","",digital,to-read,2025/03/28,"","",0,"",,,,,,,,,"",,"",No
"The Scandal of Redemption: When God Liberates the Poor, Saves Sinners, and Heals Nations",Oscar Romero,"",9780874861419,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Deathly Hallows,J.K. Rowling,"",9781408855713,paperback,read,2025/12/18,2007,2007,1,"",,,,,,,,,"",,"",No
The Phantom Tollbooth,Norton Juster,Jules Feiffer (Illustrator),9780394820378,paperback,read,2023/06/05,"","",1,"",,,,,,,,,"",,"",No
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,"",9780593237465,hardcover,to-read,2023/06/12,"","",0,"",,,,,,,,,"",,"",No
Odd Man Out,James Newman,"",9780998067919,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
The Assassination of Julius Caesar: A People's History of Ancient Rome,Michael Parenti,"",9781565849426,paperback,to-read,2023/06/05,"","",0,"",,,,,,,,,"",,"",No
The Girl with the Dragon Tattoo,Stieg Larsson,Reg Keeland (Translator),9780670069019,hardcover,read,2025/09/17,2025/11/01,2025/09/17-2025/11/01,1,"challenging, dark, sad",slow,Character,No,It's complicated,No,Yes,3.0,<div>First 70% is incredibly slow and boring character development for members of the most unappealing and unintriguing families imaginable. The who done it is predictable but the why is slightly more exciting. Overall pretty lack luster.&nbsp;</div>,Graphic: Rape; ,"","",No
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,Karen Chilton (Narrator),9781464046162,audio,read,2023/06/02,"","",1,"",,,,,,,5.0,,"",,"",No
These Violent Delights,Micah Nemerever,"",9780062963635,hardcover,to-read,2025/01/25,"","",0,"",,,,,,,,,"",,"",No
Permaculture: A Designers' Manual,Bill Mollison,Reny Mia Slay,9780908228010,hardcover,read,2023/06/03,"","",1,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9780062060624,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
The Well of Ascension,Brandon Sanderson,"",9780765316882,hardcover,read,2025/02/24,2025/03/06,2025/02/24-2025/03/06,1,"",medium,"","","","","",3.75,"","","","",No
Trust,Hernan Diaz,"",9780593420317,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
You Exist Too Much,Zaina Arafat,"",9781948226509,hardcover,to-read,2024/06/23,"","",0,"",,,,,,,,,"",,"",No
The Fall,Tal Bauer,"",B0FQGMW4DN,digital,to-read,2025/12/15,"","",0,"",,,,,,,,,"",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,read,2023/06/05,2025/01,2025/01-2025/01,1,"",,"","","","","",4.0,,"","","",No
I Know Why the Caged Bird Sings,Maya Angelou,"",9780553279375,paperback,read,2023/06/02,"","",1,"",,,,,,,4.5,,"","","",No
The Wretched of the Earth,Frantz Fanon,Richard Philcox (Translator),9780802141323,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Rhythm of War,Brandon Sanderson,"",9780765326386,hardcover,read,2025/03/28,2025/07/28,2025/07/02-2025/07/28,1,"",,"","","","","",4.0,"","","","",No
They Both Die at the End,Adam Silvera,"",9780062457790,hardcover,read,2023/06/02,"","",1,"",,,,,,,3.0,,"",,"",No
The Pearl,John Steinbeck,"",9780142000694,paperback,read,2023/06/02,"","",1,"",,,,,,,3.0,,"",,"",No
The Return of the King,J.R.R. Tolkien,"",0261102370,paperback,read,2023/06/02,"","",1,"",,,,,,,5.0,,"",,"",No
Brave New World,Aldous Huxley,"",9780060929879,paperback,read,2023/06/03,"","",1,"",,,,,,,4.0,,"",,"",No
Words of Radiance,Brandon Sanderson,"",9780765326362,hardcover,read,2025/03/28,2025/05/24,2025/04/10-2025/05/24,1,"adventurous, lighthearted, mysterious",fast,A mix,"","","","",4.5,,"","","",No
The Fires of Vengeance,Evan Winter,"",9780316489805,hardcover,to-read,2025/02/27,"","",0,"",,,,,,,,,"",,"",No
The Faggots and Their Friends Between Revolutions,Larry Mitchell,Ned Asta,9780930762001,hardcover,read,2023/06/03,2023/06/06,2023/06/06,2,"",,"","","","","",4.0,,"","","",No
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,"","",paperback,read,2023/06/03,"","",1,"",,,,,,,3.0,,"",,"",No
Tell Me How to Be,Neel Patel,"",9781250184979,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
"Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement",Angela Y. Davis,"Frank Barat (Contributor), Cornel West (Contributor)",9781608465644,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
To Kill a Mockingbird,Harper Lee,"",9780061120084,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
American Gods,Neil Gaiman,"",9780380973651,hardcover,read,2023/06/07,2023/08/09,2023/08/09,1,"adventurous, funny, mysterious",fast,A mix,Yes,Yes,"","",,"","","","",No
Harry Potter and the Philosopher's Stone,J.K. Rowling,"",9781408855652,paperback,read,2025/12/18,1998,1998-1998,1,"",,,,,,,,,"",,"",No
The Good Earth,Pearl S. Buck,"",9781416500186,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
The Left Hand of Darkness,Ursula K. Le Guin,"",0441478123,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
Fighting for Space: How a Group of Drug Users Transformed One City's Struggle with Addiction,Travis Lupick,"",9781551527123,paperback,to-read,2024/06/23,"","",0,"",,,,,,,,,"",,"",No
The Book of Luke,Lovell Holder,"",9781538770153,hardcover,to-read,2025/12/15,"","",0,"",,,,,,,,,"",,"",No
"The Hidden Life of Trees: What They Feel, How They Communicate",Peter Wohlleben,"Tim Flannery (Contributor), Jane Billinghurst (Translator)",9781771642484,hardcover,read,2023/06/04,"","",1,"",,,,,,,4.0,,"",,"",No
A Dance with Dragons,George R.R. Martin,"",9780553841121,paperback,read,2023/06/02,"","",1,"",,"","","","","",4.75,,"","","",No
Little Book of Restorative Justice: A Bestselling Book By One Of The Founders Of The Movement,Howard Zehr,"",9781561483761,paperback,read,2023/06/03,"","",1,"",,,,,,,4.0,,"",,"",No
The Complete Malazan Book of the Fallen,Steven Erikson,"",B00HL0MA3W,digital,to-read,2025/05/29,"","",0,"",,,,,,,,,"",,"",No
The Final Empire,Brandon Sanderson,"",9780765311788,hardcover,read,2025/02/24,2025/02/24,2025/02/16-2025/02/24,1,adventurous,fast,A mix,Yes,Yes,"","",4.25,"","","","",No
Scar Tissue,Anthony Kiedis,"",9781401307455,paperback,read,2023/06/03,"","",1,"",,,,,,,4.0,,"",,"",No
A Little Life,Hanya Yanagihara,"",9780804172707,paperback,read,2023/06/02,2023/06/04,2023/06/04,2,"",,"","","","","",4.5,,"","","",No
The Souls of Black Folk,W.E.B. Du Bois,"Donald B. Gibson (Contributor), Monica W. Elbert (Contributor)",014018998X,paperback,to-read,2025/11/14,"","",0,"",,,,,,,,,"",,"",No
